ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID511888772,5 Pitt St,ASHBURTON,1440000.0,h,27/06/2016,2,1.0,1.0,687.0,79.0,-37.872,145.0692,19847,1005.9508309983871,31.666666666666668,False,1654.0,9119.666666666666,550.0,Solway Primary School,347.46974959934647,278,Korowa Anglican Girls' School,1736.6555461281146,13
ID388566722,7A Brunel St,SOUTH KINGSVILLE,815000.0,t,13/05/2017,3,2.0,2.0,148.0,69.0,-37.8287,144.8705,19995,1374.0038662496895,14.333333333333334,False,987.3333333333334,2150.3333333333335,212.0,St Margaret Mary's School,637.2968304110991,483,Emmanuel College,2492.8966940932796,180
ID534973015,61 Murray Rd,COBURG,550000.0,h,4/03/2017,2,1.0,1.0,0.0,129.0,-37.7358,144.9801,19964,1540.4434860480835,34.0,False,1097.6666666666667,5916.0,553.3333333333334,Newlands Primary School,785.2353067519614,not ranked,Coburg High School,842.9060965183926,79
ID500235186,41 Saltley St,SOUTH KINGSVILLE,855000.0,t,27/11/2016,3,2.0,2.0,337.0,44.0,-37.8288,144.8681,19995,1581.2646434711996,14.333333333333334,False,888.0,2196.0,181.33333333333334,St Margaret Mary's School,847.4669958157035,483,Emmanuel College,2282.294660688346,180
ID401689731,71 Bignell Rd,BENTLEIGH EAST,1200000.0,h,7/05/2016,4,2.0,2.0,619.0,59.0,-37.9358,145.0688,19872,2750.180390370631,40.166666666666664,False,925.6666666666666,4701.333333333333,308.6666666666667,East Bentleigh Primary School,154.11090708417288,not ranked,St James' College,1062.50813662791,not ranked
ID778003771,116a Hannan St,WILLIAMSTOWN,975000.0,h,22/05/2016,3,2.0,2.0,289.0,8.0,-37.8593,144.8881,19993,234.90509366179882,20.857142857142858,False,1002.6666666666666,4068.0,328.3333333333333,Bayside P-12 College,309.94213248140346,not ranked,Bayside P-12 College,309.94213248140346,243
ID555203328,50 Canterbury St,RICHMOND,827500.0,h,28/05/2016,2,1.0,0.0,127.0,119.0,-37.8251,145.0063,19906,295.2643145425854,11.904761904761905,False,824.6666666666666,1890.3333333333333,159.33333333333334,Richmond Primary School,806.9829903684789,260,Melbourne Girls College,763.1200464497622,61
ID859347674,6/49 Osborne St,SOUTH YARRA,320000.0,u,18/03/2017,1,1.0,0.0,0.0,49.0,-37.8437,144.9904,19959,608.9143640845485,12.543859649122806,False,1245.0,3886.0,447.6666666666667,South Yarra Primary School,494.8696217541956,44,Melbourne High School,878.4217499169046,2
ID175341227,3 Brian St,FAWKNER,660000.0,h,8/04/2017,3,1.0,2.0,585.0,59.0,-37.695,144.9676,19961,995.0721159058264,39.0,False,1253.6666666666667,7401.333333333333,484.6666666666667,Moomba Park Primary School,91.01404431561096,not ranked,John Fawkner Secondary College,936.7194059075017,not ranked
ID972809660,66 Willmott Dr,CRAIGIEBURN,390000.0,h,29/07/2017,3,1.0,1.0,301.0,18.0,-37.58739,144.92619,40221,2204.9949511692203,42.77777777777778,False,1288.3333333333333,4242.333333333333,480.0,Willmott Park Primary School,582.5094282321488,not ranked,Mount Ridley P-12 College,829.2632997788255,432
ID786516798,13 Andrew St,NORTHCOTE,1900000.0,h,16/04/2016,3,1.0,1.0,522.0,109.0,-37.7752,145.0032,19929,627.5153401868104,19.923076923076923,True,136.33333333333334,302.6666666666667,42.0,Westgarth Primary School,251.34052730239003,115,Santa Maria College,542.9289405605945,137
ID633572304,25 Buckley St,MOONEE PONDS,1170000.0,h,8/10/2016,3,1.0,1.0,443.0,89.0,-37.7585,144.928,20037,1075.0195704789805,20.42105263157895,False,278.0,489.0,65.0,St Monica's Primary School,443.2354512526406,484,Lowther Hall Anglican Grammar School,1157.0352861023207,not ranked
ID721366644,8 Watchtower Rd,COBURG,675000.0,h,4/02/2016,3,1.0,2.0,142.0,14.0,-37.7382,144.97299999999996,19965,967.7598024363958,32.0,False,1071.3333333333333,5783.666666666667,419.6666666666667,St Paul's School,460.1313004423718,211,Coburg High School,278.84910654891394,79
ID717871247,18/36 Anderson Rd,HAWTHORN EAST,780000.0,u,8/04/2017,3,1.0,1.0,0.0,59.0,-37.8414,145.0505,19853,1801.5738335265605,19.09090909090909,False,1253.6666666666667,7401.333333333333,484.6666666666667,Auburn South Primary School,469.62001095209513,124,Auburn High School,506.69719767796306,167
ID352187756,250 Arthur St,FAIRFIELD,1145000.0,h,28/08/2016,3,1.0,3.0,590.0,17.0,-37.7673,145.02100000000004,19930,1369.7090317039795,22.0,False,334.6666666666667,1407.6666666666667,88.33333333333333,Virtual School Victoria,716.9240035768952,not ranked,Virtual School Victoria,716.9240035768952,not ranked
ID958552125,48 Majestic Bvd,CRANBOURNE,720008.0,h,26/08/2017,5,3.0,2.0,528.0,13.0,-38.08902,145.29006,19886,1434.451990339013,62.22222222222222,False,1083.6666666666667,3612.6666666666665,368.3333333333333,Cranbourne Carlisle Primary School,187.4247096695204,not ranked,Cranbourne Secondary College,2095.6543510530637,381
ID186920941,84 May St,ALTONA NORTH,970000.0,h,25/02/2017,4,1.0,2.0,708.0,59.0,-37.833,144.8494,19994,3195.280734594207,16.310344827586206,False,2494.6666666666665,11307.0,1410.0,Altona North Primary School,443.17367534013346,not ranked,Emmanuel College,635.1750470276695,180
ID798384490,66 Palmerston St,CARLTON,920000.0,h,22/07/2017,3,1.0,0.0,98.0,28.0,-37.79633,144.97269,19843,1639.1543239057335,6.100558659217877,False,101.33333333333333,253.66666666666666,33.0,Carlton Primary School,213.05055745045814,not ranked,Academy of Mary Immaculate,835.4277872375069,144
ID780942879,20 Mingana Rd,WANTIRNA SOUTH,1060000.0,h,16/09/2017,4,2.0,3.0,729.0,49.0,-37.85728,145.24839,19870,2451.300954328918,45.083333333333336,False,98.66666666666667,190.66666666666666,19.0,Knox Central Primary School,722.1380059810672,not ranked,Wantirna College,1618.9568086919803,305
ID479237032,6 Wilson Gr,CAMBERWELL,1602500.0,h,18/03/2017,3,1.0,1.0,405.0,89.0,-37.8448,145.071,19850,410.9603564276969,26.666666666666668,False,3767.6666666666665,18925.0,2042.3333333333333,Camberwell South Primary School,814.3200225500357,327,Siena College Ltd,1603.9565650316638,50
ID529709647,90 Bennett St,FITZROY NORTH,1400000.0,h,16/09/2017,3,2.0,2.0,9338.0,59.0,-37.78101,144.98843,20019,427.5430413604923,18.3,False,2047.6666666666667,9171.0,742.3333333333334,Merri Creek Primary School,459.4419495002074,191,Fitzroy High School,442.2846973725,248
ID741268444,31 Wordsworth St,MOONEE PONDS,1345000.0,h,18/06/2016,4,2.0,2.0,313.0,109.0,-37.7709,144.9288,20039,785.9303827394195,20.0,False,278.0,489.0,65.0,Ascot Vale Primary School,448.05725615914105,249,Mount Alexander 7-12 College,1312.129276416186,348
ID176823455,7/517 Royal Pde,PARKVILLE,850000.0,t,17/06/2017,3,1.0,1.0,2429.0,49.0,-37.78033,144.95949,19969,598.6416507083065,24.333333333333332,False,142.0,344.6666666666667,39.333333333333336,Princes Hill Primary School,757.671994144222,not ranked,Princes Hill Secondary College,600.4970340448041,81
ID944759966,9 Dunoon Ct,BRIGHTON EAST,1590000.0,h,3/09/2017,3,2.0,3.0,594.0,94.0,-37.91166,145.02265,19940,1382.5809967979992,33.15384615384615,False,2897.3333333333335,11243.0,942.0,St Finbar's School,687.2966638188786,336,Brighton Secondary College,995.2886831291218,213
ID197779199,16 William St,ABBOTSFORD,1310000.0,h,15/10/2016,2,1.0,2.0,238.0,129.0,-37.809,144.9976,19977,474.74728637225604,10.235294117647058,False,1202.0,5034.333333333333,333.0,Abbotsford Primary School,106.79331740453587,not ranked,Sophia Mundi Steiner School,895.8535542702599,not ranked
ID857584936,2/1129 Whitehorse Rd,BOX HILL,730000.0,t,12/08/2017,2,2.0,1.0,126.0,7.0,-37.819,145.13537,19897,509.08139296964174,30.818181818181817,False,2897.3333333333335,11243.0,942.0,St Francis Xavier's School,345.5473801355296,376,Box Hill High School,196.43872032191095,56
ID551733920,1/256 Mason St,ALTONA NORTH,640000.0,t,11/03/2017,2,1.0,1.0,252.0,54.0,-37.8397,144.8602,19994,2084.300707101414,16.310344827586206,False,2494.6666666666665,11307.0,1410.0,St Leo the Great Primary School,749.7950352332223,not ranked,Emmanuel College,1805.6329210924982,180
ID905917580,33 Deakin St,ESSENDON,1250000.0,t,6/08/2016,4,3.0,2.0,374.0,4.0,-37.7507,144.8911,20037,2286.6816789546506,20.42105263157895,False,334.6666666666667,1407.6666666666667,88.33333333333333,Aberfeldie Primary School,720.8941393656414,227,Rosehill Secondary College,622.6211842067017,239
ID974739544,44 Hartington St,ELSTERNWICK,1400000.0,h,7/05/2016,4,1.0,1.0,489.0,109.0,-37.8916,145.0123,19953,912.1053828652527,23.5,False,1566.6666666666667,8895.333333333334,491.0,Leibler Yavneh College,518.1396102852269,not ranked,Leibler Yavneh College,518.1396102852269,28
ID419241450,1/18 Magnolia Rd,GARDENVALE,595000.0,u,19/11/2016,2,1.0,1.0,0.0,59.0,-37.8994,145.0101,19953,601.7808873602692,23.5,False,86.33333333333333,233.33333333333334,28.0,Gardenvale Primary School,730.168086155251,138,Leibler Yavneh College,788.2574071427429,28
ID539030456,129 Hambleton St,MIDDLE PARK,1630000.0,h,29/04/2017,3,1.0,0.0,143.0,119.0,-37.8484,144.963,19958,2364.2527469049573,13.5,False,313.3333333333333,545.3333333333334,65.66666666666667,Middle Park Primary School,486.9537732639382,242,Albert Park College,1432.0035290195635,131
ID145707883,49 Jenkins St,MORDIALLOC,1400000.0,h,8/07/2017,4,2.0,2.0,530.0,12.0,-38.00429000000001,145.10286000000005,19863,1357.4995781960354,50.06666666666667,False,1471.0,7759.666666666667,779.6666666666666,St Brigid's School,1057.8659147620833,not ranked,Mordialloc College,1257.689090459703,164
ID662994140,3/26 McArthur St,MALVERN,575000.0,u,15/07/2017,2,1.0,1.0,0.0,20.0,-37.85557,145.03968,19944,1499.1484843481812,20.8,False,717.3333333333334,1763.0,318.6666666666667,Malvern Central School,466.5445246784928,68,De La Salle College,699.4129474210406,115
ID829233931,35 Birkenhead St,FITZROY NORTH,1290000.0,h,18/03/2017,2,1.0,0.0,136.0,129.0,-37.7819,144.9824,20019,892.5329875166007,18.3,True,2047.6666666666667,9171.0,742.3333333333334,Deutsche Schule Melbourne,343.12794669826053,151,Fitzroy High School,558.3646243323667,248
ID570470398,3 Astley St,TEMPLESTOWE LOWER,920000.0,h,22/08/2016,4,2.0,2.0,678.0,39.0,-37.7613,145.1047,19935,3902.0284365257,29.823529411764707,False,2403.6666666666665,5212.333333333333,586.6666666666666,Templestowe Valley Primary School,418.9403591570198,313,Templestowe College,1692.8548125020636,307
ID956668990,7/49 Bruce St,TOORAK,867000.0,u,8/04/2017,2,1.0,1.0,1087.0,16.0,-37.8373,145.0106,19947,1100.6945122521406,16.214285714285715,True,647.0,2861.3333333333335,222.66666666666666,Toorak Primary School,867.7305822034688,83,St Catherine's School,944.471196334739,35
ID405309559,2/5 Pell St,BENTLEIGH EAST,882000.0,t,27/06/2016,3,2.0,2.0,208.0,24.0,-37.9108,145.0794,19917,1399.8557684622742,29.35483870967742,False,925.6666666666666,4701.333333333333,308.6666666666667,Hughesdale Primary School,573.4938667114434,221,Sacred Heart Girls' College,1126.4615878628197,93
ID791635398,93 Tudor St,BENTLEIGH EAST,921000.0,h,16/04/2016,3,2.0,1.0,291.0,19.0,-37.919,145.0829,19916,1926.5416891023172,31.35483870967742,False,925.6666666666666,4701.333333333333,308.6666666666667,Coatesville Primary School,822.8387559391816,271,South Oakleigh Secondary College,707.3730126859065,259
ID638484443,11/37 Wheatland Rd,MALVERN,455000.0,u,3/06/2017,1,1.0,1.0,1112.0,42.0,-37.86561,145.03602,19944,595.4028818297085,20.8,False,717.3333333333334,1763.0,318.6666666666667,Malvern Primary School,699.514721503376,122,De La Salle College,945.2723018815636,115
ID393147419,7A Downland Sq,AVONDALE HEIGHTS,773000.0,h,24/06/2017,4,2.0,2.0,344.0,15.0,-37.75861,144.86687,20004,4273.292853535936,26.375,False,1672.6666666666667,10063.666666666666,646.3333333333334,St Martin de Porres School,461.95583046836117,not ranked,St Bernard's College,1765.9545655091483,130
ID473283761,201/1177 Glen Huntly Rd,GLEN HUNTLY,445000.0,u,24/09/2016,2,1.0,1.0,0.0,109.0,-37.8894,145.0431,19942,84.86803763520808,29.23076923076923,False,431.3333333333333,971.0,220.66666666666666,St Anthony's School,448.9498950762459,485,Glen Eira College,608.2092150983113,215
ID425805242,1231 North Rd,OAKLEIGH,991000.0,h,18/03/2017,4,1.0,2.0,683.0,44.0,-37.9107,145.0975,19916,428.66954507671363,31.35483870967742,False,444.6666666666667,981.3333333333334,239.66666666666666,Huntingdale Primary School,501.9976090412647,454,Sacred Heart Girls' College,1381.533459396319,93
ID553950926,4 Day St,SUNSHINE WEST,520000.0,h,27/06/2016,3,1.0,2.0,691.0,59.0,-37.7886,144.8138,20020,1192.9644829230967,21.333333333333332,False,2403.6666666666665,5212.333333333333,586.6666666666666,Sunshine Heights Primary School,556.2579542299444,not ranked,Marian College,681.7301043365235,not ranked
ID465436769,20 Edward St,FAWKNER,725000.0,h,29/04/2017,2,1.0,2.0,606.0,59.0,-37.709,144.9646,19962,720.4664134213483,37.0,False,1253.6666666666667,7401.333333333333,484.6666666666667,Darul Ulum College of Victoria,755.7192577638446,438,Darul Ulum College of Victoria,755.7192577638446,261
ID872515619,47 Kellett Gr,KEW,2245000.0,h,27/11/2016,4,3.0,2.0,627.0,60.0,-37.7915,145.0348,19931,1491.9255169660755,24.0,True,271.6666666666667,771.6666666666666,74.0,Alphington Primary School,921.3673089929446,81,Alphington Grammar School,1238.3054202549556,86
ID960761415,36 Westgate St,OAKLEIGH,1205000.0,h,13/05/2017,3,2.0,1.0,570.0,64.0,-37.9066,145.0869,19917,704.2095017336137,29.35483870967742,False,444.6666666666667,981.3333333333334,239.66666666666666,Sacred Heart School,530.4276162755536,66,Sacred Heart Girls' College,499.0996728713792,93
ID147047810,2/13 Batesford Rd,CHADSTONE,988000.0,u,20/05/2017,3,2.0,2.0,286.0,11.0,-37.8755,145.0954,19847,1597.741438968677,31.666666666666668,False,1593.3333333333333,6648.333333333333,530.0,St Mary Magdalen's School,697.2087862099069,not ranked,Salesian College,911.45690517472,153
ID257903703,5 Drysdale Ct,SCORESBY,870000.0,h,12/08/2017,3,2.0,2.0,590.0,38.0,-37.89628,145.22294,19868,6556.7698145590275,50.18181818181818,False,85.66666666666667,161.33333333333334,20.333333333333332,Scoresby Primary School,477.2831535775929,450,Scoresby Secondary College,1442.1523398504958,330
ID992096893,10/3 Lytton St,CARLTON,500000.0,u,29/04/2017,2,1.0,1.0,4076.0,10.0,-37.7941,144.9678,19842,1821.6249955714143,4.7444444444444445,False,101.33333333333333,253.66666666666666,33.0,Carlton Primary School,286.86737571205816,not ranked,University High School,1138.631671503558,67
ID370645036,3/3 Iramoo St,BALWYN,1367000.0,t,10/12/2016,3,2.0,2.0,219.0,16.0,-37.8125,145.0849,19894,1354.205481256208,25.76923076923077,False,925.6666666666666,4701.333333333333,308.6666666666667,Balwyn Primary School,348.6509265416536,16,Fintona Girls' School,499.34486610803583,9
ID168190306,26 Croker St,NEWPORT,930000.0,t,26/07/2016,4,3.0,3.0,278.0,10.0,-37.8468,144.874,19994,958.459372791582,16.310344827586206,False,71.0,261.0,20.0,Newport Gardens Primary School,487.58478348544895,411,Bayside P-12 College,1563.2479246529326,243
ID237070906,20 Rhonda St,ROSANNA,1100000.0,h,23/09/2017,3,1.0,2.0,648.0,7.0,-37.74738,145.07698,19936,1077.7177647808744,31.75,False,885.0,1901.0,227.66666666666666,Banyule Primary School,427.94450992491255,86,Viewbank College,1090.614357671621,96
ID421317129,10 Cecelia Dr,KEILOR EAST,806000.0,h,27/05/2017,3,2.0,4.0,546.0,54.0,-37.74761,144.8521,20003,3901.8416588534774,29.375,False,591.6666666666666,1189.6666666666667,177.33333333333334,St Peter's School,745.589397928689,345,Essendon Keilor College,1782.3685094206755,460
ID925832120,5/143 Canterbury Rd,MIDDLE PARK,400000.0,u,8/10/2016,1,1.0,1.0,0.0,89.0,-37.8522,144.9678,19958,1961.8463672914766,13.5,False,278.0,489.0,65.0,Middle Park Primary School,1028.2629266927079,242,Wesley College,1315.4287575474136,98
ID116565010,30 Don Av,HOPPERS CROSSING,536500.0,h,15/07/2017,3,2.0,4.0,578.0,47.0,-37.87326,144.69103,19922,1415.4970730479934,32.142857142857146,False,512.0,1119.6666666666667,175.66666666666666,St Peter Apostle School,166.34127774521664,not ranked,Hoppers Crossing Secondary College,442.7770485281216,351
ID751186968,3/197 Wattletree Rd,MALVERN,2325000.0,h,25/02/2017,5,3.0,2.0,501.0,13.0,-37.8631,145.0353,19944,633.8792607755563,20.8,False,717.3333333333334,1763.0,318.6666666666667,De La Salle College,662.9206591980263,not ranked,De La Salle College,662.9206591980263,115
ID639235374,61 Steele St,MOONEE PONDS,1361500.0,h,10/12/2016,4,1.0,2.0,453.0,99.0,-37.7698,144.9336,20039,1204.1289869514646,20.0,False,278.0,489.0,65.0,Moonee Ponds Primary School,721.0244046974075,225,Mount Alexander 7-12 College,1375.5863861489577,348
ID907262930,2/35 Kingsville St,KINGSVILLE,200000.0,u,30/07/2016,1,1.0,1.0,0.0,59.0,-37.8089,144.8788,20023,975.933112466806,19.4,False,87.33333333333333,252.0,37.0,Corpus Christi School,519.1889640969441,not ranked,Gilmore College For Girls,1786.689142500737,387
ID444957190,37 Cascade St,BALWYN NORTH,3200000.0,h,24/06/2017,5,3.0,2.0,836.0,49.0,-37.78839,145.07076,19933,3110.822441427987,26.058823529411764,False,959.0,4476.666666666667,324.0,St Bede's School,571.5252831216259,442,Kew High School,1028.845770239089,124
ID341989040,4/178 Power St,HAWTHORN,517000.0,u,14/05/2016,2,1.0,1.0,0.0,129.0,-37.8261,145.0254,19905,524.1464488720668,13.952380952380953,False,1150.6666666666667,7827.0,922.3333333333334,Erasmus Primary School,532.5021264527626,not ranked,St Kevin's College,1036.7718236360467,7
ID267487096,35 Thornton St,KEW,2425000.0,h,27/05/2017,4,3.0,1.0,638.0,99.0,-37.80719000000001,145.02248,19905,1629.6540072712696,13.952380952380953,False,288.0,712.0,75.66666666666667,Kew Primary School,1037.4540087042758,356,Xavier College,1061.2811337653952,53
ID332174225,4/6 May St,ELWOOD,750000.0,u,3/12/2016,2,1.0,1.0,0.0,89.0,-37.8791,144.9923,19955,439.26649993144156,19.5,True,1566.6666666666667,8895.333333333334,491.0,Elwood Primary School,437.34161722558076,309,Elwood College,719.2350290993256,175
ID201875855,1/11 Glengala Rd,SUNSHINE WEST,453000.0,h,17/06/2017,3,1.0,1.0,305.0,13.0,-37.78874,144.82398999999995,20021,782.2354931909688,16.730337078651687,False,2532.3333333333335,5455.0,713.0,Sunshine Heights Primary School,642.7919146000182,not ranked,Sunshine College,489.13167863879977,233
ID272095624,49 Service St,HAMPTON,1740000.0,h,27/11/2016,4,3.0,2.0,414.0,69.0,-37.9401,145.0083,19949,644.4709414175944,31.5,False,1683.6666666666667,8938.666666666666,509.3333333333333,Sandringham Primary School,842.9678578494162,353,St Leonard's College,1278.3747721757081,43
ID187869938,9/51 Napier St,FOOTSCRAY,370000.0,u,29/07/2017,2,1.0,1.0,0.0,59.0,-37.80474,144.9021,22240,370.37053352789434,10.152542372881356,False,2047.6666666666667,9171.0,742.3333333333334,Footscray City Primary School,246.03785577523158,97,Gilmore College For Girls,892.7777675783115,387
ID225932805,73 Pridham St,PRAHRAN,1610000.0,h,16/09/2017,3,2.0,1.0,111.0,129.0,-37.85169000000001,145.00557,19946,739.995900377557,18.214285714285715,False,705.3333333333334,5479.666666666667,335.0,Our Lady of Lourdes School,352.1575726026275,67,The King David School,846.6002613264152,27
ID906467639,1 Arnot St,BRIGHTON EAST,2500000.0,h,10/12/2016,5,3.0,2.0,634.0,14.0,-37.9126,145.013,19952,1253.2552562029061,24.5,False,2744.3333333333335,10289.666666666666,780.0,St Finbar's School,567.3328237772713,336,Brighton Secondary College,998.1132092973721,213
ID277478862,4A Jessie St,NORTHCOTE,1340000.0,h,19/11/2016,3,2.0,1.0,165.0,22.0,-37.7814,145.0039,19928,419.6522327689442,18.923076923076923,False,136.33333333333334,302.6666666666667,42.0,Westgarth Primary School,567.810420306278,115,Santa Maria College,1235.7185203242245,137
ID689267988,11/2 Theodore Ct,TOORAK,725000.0,u,8/07/2017,2,1.0,1.0,0.0,59.0,-37.83532,145.0216,19905,1506.445496294846,13.952380952380953,False,647.0,2861.3333333333335,222.66666666666666,St Kevin's College,272.38361938312045,60,St Kevin's College,272.38361938312045,7
ID670651450,26 Newsom St,ASCOT VALE,1000000.0,h,12/11/2016,3,2.0,2.0,440.0,64.0,-37.7746,144.9031,20039,1649.0668532559466,20.0,False,2489.6666666666665,11817.333333333334,1268.6666666666667,St Mary's School,723.7915772142526,159,Maribyrnong Secondary College,1417.738536363832,192
ID301521204,6 Dalgety St,PRESTON,1250000.0,h,3/09/2016,3,1.0,2.0,644.0,39.0,-37.7419,145.0049,20012,526.7511591252937,28.3,True,659.0,5219.333333333333,338.3333333333333,Sacred Heart School,338.59299327375953,66,Preston High School,126.81750235226646,not ranked
ID646276407,18 Hale Ct,BURWOOD EAST,1032000.0,h,3/06/2017,4,2.0,2.0,599.0,59.0,-37.848,145.14165,19897,3031.1697600500247,30.818181818181817,False,684.0,1695.6666666666667,161.0,Orchard Grove Primary School,965.3918374943764,137,Forest Hill College,1941.5218457605479,409
ID322797339,5 Iskandar Pl,DONCASTER,1650000.0,h,22/05/2016,5,4.0,2.0,500.0,12.0,-37.7863,145.1105,19896,3713.3663218926204,28.785714285714285,False,1566.6666666666667,8895.333333333334,491.0,Birralee Primary School,831.0210399400996,71,Koonung Secondary College,1874.711385950687,94
ID585268295,32 Allendale Rd,CROYDON,877500.0,h,3/06/2017,3,2.0,1.0,979.0,7.0,-37.7917,145.29665,19878,1472.0416770431536,45.76923076923077,False,1083.6666666666667,3612.6666666666665,368.3333333333333,Ruskin Park Primary School,807.5321762307584,476,Croydon Community School,1729.1780359612492,547
ID220441813,5 Boronia St,SURREY HILLS,1650000.0,h,28/05/2016,6,3.0,2.0,713.0,91.0,-37.8328,145.10399999999996,19895,1067.078203024337,25.5,False,2403.6666666666665,5212.333333333333,586.6666666666666,Our Lady of Perpetual Succour School,717.8235399846952,178,Kingswood College,1286.0773753889353,106
ID754467596,12 Selola Ct,FAWKNER,652500.0,h,27/11/2016,3,1.0,1.0,592.0,59.0,-37.6968,144.9674,19961,866.1664053064982,39.0,False,1144.3333333333333,6845.666666666667,375.6666666666667,Moomba Park Primary School,116.86236346420023,not ranked,John Fawkner Secondary College,766.2516470793094,not ranked
ID337541825,14A Kernot St,SPOTSWOOD,775000.0,h,25/02/2017,3,1.0,1.0,435.0,19.0,-37.8279,144.873,19995,1177.3090730247077,14.333333333333334,False,1245.0,3886.0,447.6666666666667,St Margaret Mary's School,436.43247847591965,483,Emmanuel College,2723.111234690584,180
ID650854129,1 Ross St,TOORAK,4000000.0,h,13/08/2016,4,4.0,4.0,324.0,49.0,-37.8439,145.0093,19947,633.9017969674491,16.214285714285715,False,584.3333333333334,2731.6666666666665,211.66666666666666,Toorak Primary School,141.43207445537826,83,Loreto Mandeville Hall,685.5638588509063,15
ID689908900,1/6 Wave St,ELWOOD,347000.0,u,25/02/2017,1,1.0,1.0,0.0,49.0,-37.8839,144.9903,19954,935.9304739241582,21.5,False,1666.0,9333.666666666666,523.0,Elwood Primary School,316.2441749393677,309,Elwood College,481.1165583617024,175
ID760421156,4/17 Howson St,BRUNSWICK WEST,545000.0,h,29/04/2017,2,1.0,1.0,0.0,49.0,-37.7711,144.9487,19969,981.867927852595,24.333333333333332,False,941.3333333333334,5813.0,575.6666666666666,Brunswick South West Primary School,459.3578115691401,316,Brunswick Secondary College,555.6819733908071,211
ID489259379,5/35 Jamieson St,FITZROY NORTH,1015000.0,t,8/10/2016,3,2.0,1.0,112.0,19.0,-37.7912,144.9825,19974,1170.9976900019644,15.142857142857142,False,1923.6666666666667,8979.333333333334,620.3333333333334,Fitzroy Community School,326.9721062898725,4,Fitzroy High School,825.6672322219731,248
