ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID175341227,3 Brian St,3,h,660000.0,8/04/2017,1.0,2.0,585.0,59.0,-37.695,144.9676
ID972809660,66 Willmott Dr,3,h,390000.0,29/07/2017,1.0,1.0,301.0,18.0,-37.58739,144.92619
ID786516798,13 Andrew St,3,h,1900000.0,16/04/2016,1.0,1.0,522.0,109.0,-37.7752,145.0032
ID633572304,25 Buckley St,3,h,1170000.0,8/10/2016,1.0,1.0,443.0,89.0,-37.7585,144.928
ID721366644,8 Watchtower Rd,3,h,675000.0,4/02/2016,1.0,2.0,142.0,14.0,-37.7382,144.97299999999996
ID717871247,18/36 Anderson Rd,3,u,780000.0,8/04/2017,1.0,1.0,0.0,59.0,-37.8414,145.0505
ID352187756,250 Arthur St,3,h,1145000.0,28/08/2016,1.0,3.0,590.0,17.0,-37.7673,145.02100000000004
ID958552125,48 Majestic Bvd,5,h,720008.0,26/08/2017,3.0,2.0,528.0,13.0,-38.08902,145.29006
ID186920941,84 May St,4,h,970000.0,25/02/2017,1.0,2.0,708.0,59.0,-37.833,144.8494
ID798384490,66 Palmerston St,3,h,920000.0,22/07/2017,1.0,0.0,98.0,28.0,-37.79633,144.97269
ID780942879,20 Mingana Rd,4,h,1060000.0,16/09/2017,2.0,3.0,729.0,49.0,-37.857279999999996,145.24839
ID479237032,6 Wilson Gr,3,h,1602500.0,18/03/2017,1.0,1.0,405.0,89.0,-37.8448,145.071
ID529709647,90 Bennett St,3,h,1400000.0,16/09/2017,2.0,2.0,9338.0,59.0,-37.781009999999995,144.98843
ID741268444,31 Wordsworth St,4,h,1345000.0,18/06/2016,2.0,2.0,313.0,109.0,-37.7709,144.9288
ID176823455,7/517 Royal Pde,3,t,850000.0,17/06/2017,1.0,1.0,2429.0,49.0,-37.78033,144.95949
ID944759966,9 Dunoon Ct,3,h,1590000.0,3/09/2017,2.0,3.0,594.0,94.0,-37.91166,145.02265
ID197779199,16 William St,2,h,1310000.0,15/10/2016,1.0,2.0,238.0,129.0,-37.809,144.9976
ID857584936,2/1129 Whitehorse Rd,2,t,730000.0,12/08/2017,2.0,1.0,126.0,7.0,-37.819,145.13537
ID551733920,1/256 Mason St,2,t,640000.0,11/03/2017,1.0,1.0,252.0,54.0,-37.8397,144.8602
ID905917580,33 Deakin St,4,t,1250000.0,6/08/2016,3.0,2.0,374.0,4.0,-37.7507,144.8911
ID974739544,44 Hartington St,4,h,1400000.0,7/05/2016,1.0,1.0,489.0,109.0,-37.8916,145.0123
ID419241450,1/18 Magnolia Rd,2,u,595000.0,19/11/2016,1.0,1.0,0.0,59.0,-37.8994,145.0101
ID539030456,129 Hambleton St,3,h,1630000.0,29/04/2017,1.0,0.0,143.0,119.0,-37.8484,144.963
ID145707883,49 Jenkins St,4,h,1400000.0,8/07/2017,2.0,2.0,530.0,12.0,-38.00429000000001,145.10286000000005
ID662994140,3/26 McArthur St,2,u,575000.0,15/07/2017,1.0,1.0,0.0,20.0,-37.85557,145.03968
ID829233931,35 Birkenhead St,2,h,1290000.0,18/03/2017,1.0,0.0,136.0,129.0,-37.7819,144.9824
ID570470398,3 Astley St,4,h,920000.0,22/08/2016,2.0,2.0,678.0,39.0,-37.7613,145.1047
ID956668990,7/49 Bruce St,2,u,867000.0,8/04/2017,1.0,1.0,1087.0,16.0,-37.8373,145.0106
ID405309559,2/5 Pell St,3,t,882000.0,27/06/2016,2.0,2.0,208.0,24.0,-37.9108,145.0794
ID791635398,93 Tudor St,3,h,921000.0,16/04/2016,2.0,1.0,291.0,19.0,-37.919000000000004,145.0829
ID638484443,11/37 Wheatland Rd,1,u,455000.0,3/06/2017,1.0,1.0,1112.0,42.0,-37.86561,145.03602
ID393147419,7A Downland Sq,4,h,773000.0,24/06/2017,2.0,2.0,344.0,15.0,-37.75861,144.86687
ID473283761,201/1177 Glen Huntly Rd,2,u,445000.0,24/09/2016,1.0,1.0,0.0,109.0,-37.8894,145.0431
ID425805242,1231 North Rd,4,h,991000.0,18/03/2017,1.0,2.0,683.0,44.0,-37.9107,145.0975
ID553950926,4 Day St,3,h,520000.0,27/06/2016,1.0,2.0,691.0,59.0,-37.7886,144.8138
ID465436769,20 Edward St,2,h,725000.0,29/04/2017,1.0,2.0,606.0,59.0,-37.709,144.9646
ID872515619,47 Kellett Gr,4,h,2245000.0,27/11/2016,3.0,2.0,627.0,60.0,-37.7915,145.0348
ID960761415,36 Westgate St,3,h,1205000.0,13/05/2017,2.0,1.0,570.0,64.0,-37.9066,145.0869
ID147047810,2/13 Batesford Rd,3,u,988000.0,20/05/2017,2.0,2.0,286.0,11.0,-37.8755,145.0954
ID257903703,5 Drysdale Ct,3,h,870000.0,12/08/2017,2.0,2.0,590.0,38.0,-37.89628,145.22294
ID992096893,10/3 Lytton St,2,u,500000.0,29/04/2017,1.0,1.0,4076.0,10.0,-37.7941,144.9678
ID370645036,3/3 Iramoo St,3,t,1367000.0,10/12/2016,2.0,2.0,219.0,16.0,-37.8125,145.0849
ID168190306,26 Croker St,4,t,930000.0,26/07/2016,3.0,3.0,278.0,10.0,-37.8468,144.874
ID237070906,20 Rhonda St,3,h,1100000.0,23/09/2017,1.0,2.0,648.0,7.0,-37.74738,145.07698
ID421317129,10 Cecelia Dr,3,h,806000.0,27/05/2017,2.0,4.0,546.0,54.0,-37.747609999999995,144.8521
ID925832120,5/143 Canterbury Rd,1,u,400000.0,8/10/2016,1.0,1.0,0.0,89.0,-37.8522,144.9678
ID116565010,30 Don Av,3,h,536500.0,15/07/2017,2.0,4.0,578.0,47.0,-37.873259999999995,144.69103
ID751186968,3/197 Wattletree Rd,5,h,2325000.0,25/02/2017,3.0,2.0,501.0,13.0,-37.8631,145.0353
ID639235374,61 Steele St,4,h,1361500.0,10/12/2016,1.0,2.0,453.0,99.0,-37.7698,144.9336
ID907262930,2/35 Kingsville St,1,u,200000.0,30/07/2016,1.0,1.0,0.0,59.0,-37.8089,144.8788
ID444957190,37 Cascade St,5,h,3200000.0,24/06/2017,3.0,2.0,836.0,49.0,-37.78839,145.07076
ID341989040,4/178 Power St,2,u,517000.0,14/05/2016,1.0,1.0,0.0,129.0,-37.8261,145.0254
ID267487096,35 Thornton St,4,h,2425000.0,27/05/2017,3.0,1.0,638.0,99.0,-37.80719000000001,145.02248
ID332174225,4/6 May St,2,u,750000.0,3/12/2016,1.0,1.0,0.0,89.0,-37.8791,144.9923
ID201875855,1/11 Glengala Rd,3,h,453000.0,17/06/2017,1.0,1.0,305.0,13.0,-37.788740000000004,144.82398999999995
ID272095624,49 Service St,4,h,1740000.0,27/11/2016,3.0,2.0,414.0,69.0,-37.9401,145.0083
ID187869938,9/51 Napier St,2,u,370000.0,29/07/2017,1.0,1.0,0.0,59.0,-37.80474,144.9021
ID225932805,73 Pridham St,3,h,1610000.0,16/09/2017,2.0,1.0,111.0,129.0,-37.85169000000001,145.00557
ID906467639,1 Arnot St,5,h,2500000.0,10/12/2016,3.0,2.0,634.0,14.0,-37.9126,145.013
ID277478862,4A Jessie St,3,h,1340000.0,19/11/2016,2.0,1.0,165.0,22.0,-37.7814,145.0039
ID689267988,11/2 Theodore Ct,2,u,725000.0,8/07/2017,1.0,1.0,0.0,59.0,-37.83532,145.0216
ID670651450,26 Newsom St,3,h,1000000.0,12/11/2016,2.0,2.0,440.0,64.0,-37.7746,144.9031
ID301521204,6 Dalgety St,3,h,1250000.0,3/09/2016,1.0,2.0,644.0,39.0,-37.7419,145.0049
ID646276407,18 Hale Ct,4,h,1032000.0,3/06/2017,2.0,2.0,599.0,59.0,-37.848,145.14165
ID791635398,93 Tudor St,3,h,921000.0,16/04/2016,2.0,1.0,291.0,19.0,-37.919000000000004,145.0829
ID322797339,5 Iskandar Pl,5,h,1650000.0,22/05/2016,4.0,2.0,500.0,12.0,-37.7863,145.1105
ID585268295,32 Allendale Rd,3,h,877500.0,3/06/2017,2.0,1.0,979.0,7.0,-37.7917,145.29665
ID220441813,5 Boronia St,6,h,1650000.0,28/05/2016,3.0,2.0,713.0,91.0,-37.8328,145.10399999999996
ID754467596,12 Selola Ct,3,h,652500.0,27/11/2016,1.0,1.0,592.0,59.0,-37.6968,144.9674
ID337541825,14A Kernot St,3,h,775000.0,25/02/2017,1.0,1.0,435.0,19.0,-37.8279,144.873
ID650854129,1 Ross St,4,h,4000000.0,13/08/2016,4.0,4.0,324.0,49.0,-37.8439,145.0093
ID689908900,1/6 Wave St,1,u,347000.0,25/02/2017,1.0,1.0,0.0,49.0,-37.8839,144.9903
ID760421156,4/17 Howson St,2,h,545000.0,29/04/2017,1.0,1.0,0.0,49.0,-37.7711,144.9487
ID489259379,5/35 Jamieson St,3,t,1015000.0,8/10/2016,2.0,1.0,112.0,19.0,-37.7912,144.9825
ID444842131,38 Allison Av,3,h,2200000.0,9/09/2017,2.0,2.0,705.0,84.0,-37.86578,145.06886
ID493033354,1/194 Hyde St,3,h,780000.0,3/12/2016,2.0,2.0,213.0,15.0,-37.8175,144.8964
ID967822222,38 Caroline Dr,3,h,1350000.0,12/08/2017,2.0,3.0,725.0,24.0,-37.76616,145.11207
ID288034025,497 Albion St,5,h,1350000.0,7/11/2016,2.0,2.0,510.0,22.0,-37.7581,144.9414
ID221285219,56 Hamilton St,3,h,1145000.0,3/09/2016,1.0,1.0,350.0,129.0,-37.8094,144.8869
ID169255592,22 Miami St,3,h,1650000.0,6/08/2016,2.0,2.0,302.0,99.0,-37.8348,145.0453
ID381150447,2/6 Murra Ct,2,u,700000.0,22/08/2016,1.0,2.0,192.0,12.0,-37.8709,145.102
ID678322259,20 Westgarth St,2,h,1315000.0,18/03/2017,1.0,0.0,141.0,129.0,-37.7946,144.9765
ID609133209,199 Cumberland Rd,3,h,900000.0,14/05/2016,2.0,2.0,608.0,79.0,-37.7182,144.9405
ID145771371,2/55 Garnet St,3,t,820000.0,7/11/2016,2.0,1.0,229.0,7.0,-37.7462,144.8873
ID892989790,24 Brennan St,3,h,419000.0,17/06/2017,1.0,3.0,603.0,15.0,-37.70478,144.57211
ID280361365,21 Henty St,3,h,801000.0,13/05/2017,1.0,1.0,551.0,69.0,-37.7194,145.0015
ID390656979,1/271 Williams Rd,2,u,660000.0,27/06/2016,1.0,1.0,0.0,54.0,-37.8414,145.0043
ID478775573,36 Narrak Rd,4,h,1800000.0,3/09/2016,2.0,2.0,715.0,34.0,-37.811,145.0958
ID327453011,8/107 Victoria Rd,1,u,440000.0,8/04/2017,1.0,1.0,2306.0,49.0,-37.8227,145.0528
ID190626645,11/165 Noone St,2,u,640000.0,22/07/2017,2.0,1.0,533.0,8.0,-37.79443,144.99944
ID140158680,1 Diana Dr,4,h,1280000.0,17/06/2017,2.0,1.0,797.0,59.0,-37.80755,145.1638
ID205115609,67 Morley St,3,h,885000.0,8/04/2017,1.0,2.0,751.0,47.0,-37.6962,144.9376
ID984736717,1 George St,3,h,735000.0,8/10/2016,1.0,2.0,369.0,69.0,-37.7359,144.985
ID280408825,26 Serpentine St,3,t,1200000.0,27/06/2016,2.0,2.0,255.0,19.0,-37.8192,145.111
ID571279966,76 Castle St,4,h,1650000.0,10/09/2016,3.0,2.0,724.0,79.0,-37.7594,145.0594
ID857629471,34 Matthews St,3,h,950000.0,15/10/2016,1.0,4.0,704.0,61.0,-37.7933,144.8409
ID674805250,23 Morotai Pde,2,h,520000.0,22/05/2016,1.0,2.0,594.0,29.0,-37.7471,145.0427
ID940781674,123 Richardson St,4,h,2550000.0,19/08/2017,2.0,2.0,152.0,109.0,-37.84663,144.95681000000005
ID198316484,5 Gwent St,3,h,700000.0,22/07/2017,1.0,2.0,638.0,39.0,-37.980309999999996,145.15497
ID128423370,1 Monterey Bvd,3,h,452000.0,3/06/2017,1.0,0.0,624.0,57.0,-38.1187,145.14973
ID705710698,34 Council St,4,h,1480000.0,8/04/2017,2.0,2.0,656.0,54.0,-37.7833,145.1302
ID736087419,3/22 Stapley Cr,3,t,977500.0,22/07/2017,3.0,3.0,209.0,7.0,-37.88923,145.0964
ID317294388,25 Georges Rd,2,h,1040000.0,9/09/2017,1.0,1.0,766.0,69.0,-37.809020000000004,145.23561
ID309255254,79 North Rd,4,h,900000.0,3/09/2017,1.0,4.0,646.0,69.0,-37.723279999999995,145.01862
ID581030251,2/23 Peace St,3,t,1315000.0,29/04/2017,2.0,2.0,184.0,49.0,-37.8644,145.063
ID675659356,58 Bliburg St,3,h,421000.0,30/07/2016,1.0,1.0,607.0,59.0,-37.6864,144.9111
ID510632420,105/72 Cross St,1,u,375000.0,16/04/2016,1.0,1.0,0.0,99.0,-37.8006,144.881
ID838265680,4 Ella Ct,4,h,1300000.0,8/04/2017,2.0,2.0,872.0,49.0,-37.7906,145.1138
ID635694758,8 Charles St,4,h,1530000.0,8/10/2016,2.0,2.0,486.0,129.0,-37.8258,145.1116
ID124511210,53 Heller St,4,h,1150000.0,28/05/2016,1.0,2.0,519.0,109.0,-37.7747,144.9474
ID756819133,35 Green St,5,h,1420000.0,27/11/2016,3.0,1.0,455.0,13.0,-37.7653,145.0392
ID186777200,12 Witchwood Cl,3,t,1460000.0,4/06/2016,2.0,1.0,181.0,29.0,-37.8334,144.9867
ID937743509,6/108 George St,1,u,565000.0,24/09/2016,1.0,0.0,0.0,49.0,-37.8153,144.9868
ID921179123,2 Burge Cr,4,h,650000.0,22/07/2017,2.0,2.0,680.0,34.0,-37.86821,144.69566
ID407751733,4a Cohen St,3,h,583000.0,10/09/2016,1.0,1.0,412.0,16.0,-37.7459,144.8643
ID556428730,5 Rita St,5,h,2905000.0,27/05/2017,3.0,2.0,557.0,9.0,-37.76181,144.89327
ID136355422,32 Sweetland Rd,3,h,910000.0,13/05/2017,1.0,2.0,414.0,5.0,-37.8247,145.1359
ID314925614,85 The Parade,3,h,1310000.0,22/07/2017,1.0,2.0,523.0,119.0,-37.77255,144.91213
ID532948704,30 Clifton St,4,h,1572000.0,7/05/2016,2.0,2.0,662.0,54.0,-37.798,145.1007
ID784862898,31 Carrington Rd,2,h,1190000.0,19/11/2016,1.0,2.0,650.0,11.0,-37.7378,144.8893
ID546416611,38 Muriel St,4,h,1126000.0,3/12/2016,2.0,2.0,650.0,59.0,-37.7429,144.888
ID371443496,19 Hanke Rd,3,h,1450000.0,3/12/2016,1.0,1.0,638.0,49.0,-37.7912,145.1248
ID327161055,3/21 John St,2,h,655000.0,19/11/2016,1.0,1.0,156.0,44.0,-37.9024,145.1008
ID399936064,3 Hutton St,3,h,880000.0,4/03/2017,1.0,1.0,586.0,7.0,-37.786,144.871
ID586461910,42 Elinda Pl,2,u,395000.0,22/04/2017,1.0,1.0,166.0,29.0,-37.6986,145.024
ID403789563,75 Lowson St,3,h,720000.0,1/07/2017,1.0,2.0,603.0,3.0,-37.69863,144.96685
ID587755313,2/29 May Rd,1,u,430000.0,4/06/2016,1.0,1.0,0.0,49.0,-37.8473,145.0053
ID954712341,303/10 Hillingdon Pl,2,u,645000.0,13/05/2017,1.0,1.0,2842.0,99.0,-37.8513,144.9943
ID195510230,43 Christmas St,2,h,1286000.0,3/09/2016,1.0,1.0,245.0,129.0,-37.7662,145.0096
ID255786827,56 Asling St,3,t,1990000.0,22/04/2017,2.0,2.0,0.0,84.0,-37.900999999999996,145.0026
ID848383551,16 Lindenow St,3,h,893000.0,12/11/2016,1.0,3.0,528.0,10.0,-37.779,144.8829
ID686587967,94 Barkly St,4,h,1815000.0,6/08/2016,1.0,1.0,233.0,129.0,-37.7776,144.9727
ID551576922,56 Victoria St,5,h,2250000.0,24/06/2017,3.0,2.0,640.0,39.0,-37.95698,145.0166
ID950751940,26 Wills St,4,h,2000000.0,27/06/2016,1.0,2.0,739.0,89.0,-37.8039,145.0631
ID453685325,328 Carrick Dr,5,h,675000.0,17/06/2017,2.0,2.0,565.0,44.0,-37.68302,144.89327
ID175607457,4 Dane Rd,4,h,1200000.0,28/08/2016,2.0,2.0,0.0,17.0,-37.9405,145.0346
ID162160196,903/107 Beach St,2,u,1100000.0,3/09/2016,2.0,1.0,0.0,69.0,-37.8405,144.9319
ID706903189,52 Emily St,3,h,1200000.0,14/05/2016,2.0,1.0,588.0,26.0,-37.8937,145.0648
ID939373242,107 Cecil St,2,h,1300000.0,24/09/2016,1.0,1.0,157.0,119.0,-37.7941,144.98
ID623000407,10/446 Albion St,1,u,252000.0,25/02/2017,1.0,1.0,0.0,49.0,-37.7586,144.9433
ID458999439,8/18 Edgar St,2,u,680000.0,15/10/2016,1.0,1.0,0.0,73.0,-37.8566,145.0454
ID497458880,5 Amberley Ct,3,h,1230000.0,19/08/2017,1.0,1.0,757.0,39.0,-37.78094,145.10131
ID605847524,47 Lord St,2,h,1220000.0,10/12/2016,1.0,1.0,80.0,119.0,-37.8213,145.005
ID814945126,1/22 Harrington St,3,u,660000.0,12/08/2017,1.0,2.0,211.0,49.0,-37.86473,144.81507
ID756257418,1/3 Crescent Rd,2,u,667000.0,27/06/2016,1.0,1.0,83.0,59.0,-37.8355,145.0633
ID131597880,54 Ngarveno St,3,h,1111000.0,28/08/2016,1.0,2.0,502.0,109.0,-37.7693,144.9299
ID710721328,7/36 Grange Rd,1,u,541000.0,15/10/2016,1.0,1.0,0.0,49.0,-37.8373,145.0116
ID245975005,2/96 Dodds St,2,u,600000.0,27/05/2017,1.0,1.0,0.0,69.0,-37.8281,144.96627
ID247362477,9 Young St,4,h,1495000.0,9/09/2017,2.0,1.0,581.0,69.0,-37.907059999999994,145.09524
ID588219443,38 Charlbury Gr,4,h,632500.0,12/08/2017,2.0,2.0,592.0,59.0,-37.73084,144.78348
ID809069623,103 Sussex St,2,h,1570000.0,27/11/2016,1.0,1.0,746.0,69.0,-37.7304,144.9496
ID904052839,123/4 Bik La,2,u,490000.0,27/11/2016,1.0,1.0,4296.0,7.0,-37.7846,144.9785
ID353531148,312/1005 Mt Alexander Rd,1,u,330000.0,20/05/2017,1.0,1.0,0.0,5.0,-37.7478,144.912
ID446841614,29 Murray St,2,h,1500000.0,17/09/2016,1.0,2.0,222.0,89.0,-37.8501,144.9995
ID569835080,1/3 Clovelly Ct,2,u,751000.0,24/09/2016,1.0,1.0,711.0,54.0,-37.8144,145.0328
ID462918897,10 Knapp St,3,h,625000.0,28/05/2016,1.0,1.0,536.0,59.0,-37.8285,144.8351
ID848232732,8/11 Nicholson St,2,u,392500.0,6/05/2017,1.0,1.0,1783.0,59.0,-37.7949,144.9007
ID989845615,5/205 Williams Rd,1,u,523000.0,17/09/2016,1.0,0.0,0.0,79.0,-37.8458,145.0034
ID729018694,9 Wicks Ct,4,h,881500.0,10/09/2016,2.0,2.0,581.0,59.0,-37.9355,145.0979
ID459676541,15 Eveline St,4,h,1630000.0,23/09/2017,2.0,1.0,278.0,139.0,-37.77081,144.96318
ID204827223,2/29 St Elmo Rd,1,u,385000.0,30/07/2016,1.0,1.0,0.0,49.0,-37.7638,145.0458
ID875406187,14 Oxford St,3,h,905000.0,27/05/2017,1.0,4.0,697.0,69.0,-37.77004,144.84253999999999
ID718849197,373 Waterdale Rd,3,u,676000.0,30/07/2016,1.0,0.0,605.0,69.0,-37.7516,145.0457
ID342729238,12/66 Woornack Rd,1,u,250000.0,10/09/2016,1.0,1.0,0.0,59.0,-37.8982,145.0625
ID249936668,13/84 Campbell Rd,1,u,365000.0,12/11/2016,1.0,0.0,2274.0,52.0,-37.8339,145.055
ID435107291,9 Sargood St,2,h,642000.0,27/06/2016,1.0,0.0,167.0,79.0,-37.7477,144.9647
ID542341626,140 Purinuan Rd,2,h,791000.0,19/11/2016,1.0,3.0,720.0,49.0,-37.7076,145.017
ID416087798,5 Daours Ct,4,h,932500.0,22/04/2017,2.0,2.0,585.0,69.0,-37.7154,145.0777
ID404853150,6A Heather Gr,3,h,800000.0,12/08/2017,2.0,1.0,461.0,14.0,-37.825359999999996,145.22228
ID884879061,49 Roberts St,4,h,1010000.0,3/09/2017,1.0,2.0,612.0,36.0,-37.75035,144.86431000000005
ID490430364,8 Lygon St,4,h,1774500.0,14/05/2016,2.0,2.0,575.0,11.0,-37.8993,145.0254
ID443172485,131 Lord St,4,h,3335000.0,3/12/2016,2.0,2.0,319.0,126.0,-37.8244,145.0044
ID424049201,12 Jones Ct,3,h,1405000.0,27/05/2017,2.0,2.0,639.0,15.0,-37.693529999999996,145.06008
ID456633054,18/170 St Kilda Rd,3,u,720000.0,27/11/2016,1.0,1.0,0.0,89.0,-37.8612,144.985
ID671505349,4 Barry St,2,h,950000.0,29/07/2017,1.0,0.0,114.0,59.0,-37.78024,144.99289
ID770362046,4/13 Sylvester St,2,u,522000.0,8/10/2016,1.0,1.0,161.0,7.0,-37.7204,144.9131
ID816189730,4 Lyons St,3,h,600000.0,8/10/2016,1.0,2.0,702.0,69.0,-37.6999,144.9387
ID897252335,1172 North Rd,6,h,1900000.0,18/03/2017,2.0,6.0,1200.0,49.0,-37.9099,145.0875
ID197908056,47 Washington Dr,3,h,945000.0,3/06/2017,1.0,2.0,640.0,44.0,-37.93646,145.08728
ID713034035,1/123 Blyth St,2,t,720000.0,4/02/2016,1.0,2.0,292.0,6.0,-37.8687,144.8197
ID369516258,40 Wave St,3,h,1925000.0,28/08/2016,1.0,1.0,393.0,96.0,-37.8835,144.9873
ID190991891,31A Beaconsfield Rd,3,h,840000.0,1/07/2017,1.0,2.0,509.0,19.0,-37.708220000000004,145.11495
ID754096359,10/59 Young St,3,h,1326000.0,20/05/2017,2.0,2.0,718.0,13.0,-37.8065,144.9781
ID599480694,3 Hayball Ct,4,h,2415000.0,20/05/2017,3.0,2.0,402.0,44.0,-37.9037,144.9926
ID282379134,3 Mary St,4,h,4525000.0,22/08/2016,4.0,2.0,716.0,94.0,-37.8469,145.0377
ID791081191,105 William St,3,h,700000.0,29/07/2017,1.0,2.0,625.0,49.0,-37.67427,145.02961000000005
ID865404802,83 Grange Rd,3,h,1160000.0,8/10/2016,1.0,2.0,553.0,89.0,-37.8878,145.0456
ID902726553,79 Bamfield Rd,3,h,885000.0,3/06/2017,1.0,1.0,592.0,59.0,-37.737359999999995,145.05603
ID913484785,6/7 Houston St,3,u,392250.0,8/07/2017,1.0,1.0,227.0,7.0,-37.64836,145.03139
ID543479106,23 Wheatley Av,3,h,515000.0,3/09/2017,2.0,2.0,532.0,19.0,-37.62554,144.92006
ID264771571,11 Duffy St,3,h,680000.0,23/09/2017,1.0,1.0,237.0,21.0,-37.7104,145.00717
ID738873589,206 Montague St,2,h,1355000.0,9/09/2017,1.0,0.0,109.0,119.0,-37.83423,144.95243
ID160094960,2 Eildon St,3,t,888000.0,28/08/2016,2.0,1.0,192.0,49.0,-37.7942,145.1256
ID303296273,73 Pecham St,3,h,963500.0,27/05/2017,2.0,6.0,697.0,59.0,-37.69647,144.9113
ID400269772,10 Chris Ct,4,h,677000.0,27/05/2017,2.0,2.0,661.0,20.0,-37.69655,144.75538
ID544444597,6/36 Auburn Gr,2,u,500000.0,8/04/2017,1.0,1.0,710.0,59.0,-37.8259,145.0483
ID652234991,30 Shepherd St,3,h,730000.0,29/04/2017,1.0,3.0,586.0,17.0,-37.783,144.855
ID683391916,342 Gilbert Rd,4,h,1315000.0,19/11/2016,3.0,2.0,836.0,78.0,-37.7379,144.9903
ID535840135,33 Clunes St,2,h,705500.0,30/07/2016,1.0,1.0,770.0,69.0,-37.7159,145.0389
ID658506393,5/27 Venus St,1,u,290000.0,27/11/2016,1.0,1.0,0.0,49.0,-37.8943,145.0145
ID480464406,423 Burke Rd,3,h,1660000.0,10/09/2016,1.0,2.0,297.0,89.0,-37.847,145.0535
ID902329102,22 Nimmo St,4,h,1160000.0,10/09/2016,3.0,2.0,256.0,4.0,-37.7527,144.8957
ID567360729,211A Ballarat Rd,2,h,950000.0,11/02/2017,1.0,2.0,657.0,79.0,-37.7909,144.8884
ID829214964,4/463 South Rd,2,u,380000.0,8/07/2017,1.0,1.0,1.0,8.0,-37.9332,145.03794
ID636217654,3 Federation St,2,h,1005000.0,29/04/2017,1.0,1.0,202.0,8.0,-37.7737,144.9166
ID281752188,158 Neville St,2,h,1300000.0,8/04/2017,1.0,0.0,132.0,119.0,-37.8527,144.9657
ID957538191,4 Colston Cl,4,h,1250000.0,10/12/2016,2.0,2.0,780.0,49.0,-37.7955,145.139
ID546550377,14 Delhi St,4,h,1410000.0,23/09/2017,3.0,4.0,623.0,69.0,-37.92588,145.04808
ID263311682,255 Elgar Rd,4,h,1300000.0,10/09/2016,2.0,2.0,809.0,69.0,-37.8337,145.1118
ID893608034,3/32 Wimba Av,2,u,860000.0,12/08/2017,2.0,1.0,0.0,69.0,-37.80593,145.05121
ID910719181,3/1 Seisman Pl,2,u,735000.0,27/11/2016,1.0,1.0,0.0,19.0,-37.8424,144.9449
ID191989746,164 Lebanon St,3,t,600000.0,28/08/2016,3.0,2.0,717.0,59.0,-37.7234,144.9077
ID328302894,1/12 Brooks St,3,t,460000.0,15/10/2016,1.0,1.0,314.0,49.0,-37.7066,144.9733
ID993478728,1b Daphne St,3,h,928000.0,10/09/2016,2.0,1.0,145.0,21.0,-37.8233,145.0769
ID749468615,40 Smith St,2,h,970000.0,9/09/2017,1.0,0.0,82.0,119.0,-37.836059999999996,144.95164
ID646987852,111/99 Dow St,2,u,575000.0,4/03/2017,2.0,1.0,0.0,7.0,-37.8415,144.9412
ID775134274,9/5 Rothwell St,2,u,467000.0,3/12/2016,1.0,1.0,0.0,39.0,-37.7761,144.9201
ID857028042,3 Cuming St,2,h,856000.0,4/06/2016,1.0,1.0,261.0,139.0,-37.8157,144.887
